  Z  CORE VAL  ION
  7.   2   1  0.000000
  
  
  
 THE FOLLOWING DATA IS THE MODIFIED HFS POTENTIAL, RV(R), GIVEN AT THE
 441 POINTS OF THE MESH, IN RYDBERG AUs, IDEALLY = -2Z U
  
  0.0000000E+00 4.0087402E-02 7.9528242E-02 1.1833055E-01 1.5650222E-01 Z  7   1
  1.9405109E-01 2.3098496E-01 2.6731151E-01 3.0303827E-01 3.3817288E-01 Z  7   2
  3.7272272E-01 4.0669510E-01 4.4009739E-01 4.7293672E-01 5.0522035E-01 Z  7   3
  5.3695518E-01 5.6814826E-01 5.9880650E-01 6.2893671E-01 6.5854555E-01 Z  7   4
  6.8763989E-01 7.1622616E-01 7.4431092E-01 7.7190059E-01 7.9900175E-01 Z  7   5
  8.2562047E-01 8.5176313E-01 8.7743568E-01 9.0264457E-01 9.2739558E-01 Z  7   6
  9.5169473E-01 9.7554803E-01 9.9896109E-01 1.0219398E+00 1.0444896E+00 Z  7   7
  1.0666165E+00 1.0883259E+00 1.1096233E+00 1.1305140E+00 1.1510036E+00 Z  7   8
  1.1710972E+00 1.2101177E+00 1.2476168E+00 1.2836347E+00 1.3182104E+00 Z  7   9
  1.3513825E+00 1.3831885E+00 1.4136649E+00 1.4428476E+00 1.4707712E+00 Z  7  10
  1.4974698E+00 1.5229766E+00 1.5473239E+00 1.5705435E+00 1.5926661E+00 Z  7  11
  1.6137221E+00 1.6337403E+00 1.6527501E+00 1.6707790E+00 1.6878545E+00 Z  7  12
  1.7040031E+00 1.7192509E+00 1.7336233E+00 1.7471448E+00 1.7598397E+00 Z  7  13
  1.7717311E+00 1.7828426E+00 1.7931961E+00 1.8028136E+00 1.8117163E+00 Z  7  14
  1.8199252E+00 1.8274603E+00 1.8343413E+00 1.8405875E+00 1.8462179E+00 Z  7  15
  1.8512504E+00 1.8557032E+00 1.8595935E+00 1.8629386E+00 1.8657546E+00 Z  7  16
  1.8680580E+00 1.8711888E+00 1.8724521E+00 1.8719634E+00 1.8698317E+00 Z  7  17
  1.8661612E+00 1.8610506E+00 1.8545941E+00 1.8468803E+00 1.8379942E+00 Z  7  18
  1.8280162E+00 1.8170222E+00 1.8050847E+00 1.7922728E+00 1.7786516E+00 Z  7  19
  1.7642829E+00 1.7492254E+00 1.7335346E+00 1.7172635E+00 1.7004619E+00 Z  7  20
  1.6831772E+00 1.6654545E+00 1.6473359E+00 1.6288619E+00 1.6100702E+00 Z  7  21
  1.5909970E+00 1.5716763E+00 1.5521402E+00 1.5324192E+00 1.5125418E+00 Z  7  22
  1.4925350E+00 1.4724245E+00 1.4522343E+00 1.4319868E+00 1.4117035E+00 Z  7  23
  1.3914043E+00 1.3711088E+00 1.3508340E+00 1.3305963E+00 1.3104116E+00 Z  7  24
  1.2902942E+00 1.2503154E+00 1.2107581E+00 1.1717076E+00 1.1332374E+00 Z  7  25
  1.0954101E+00 1.0582798E+00 1.0218905E+00 9.8627943E-01 9.5147645E-01 Z  7  26
  9.1750515E-01 8.8438374E-01 8.5212499E-01 8.2073754E-01 7.9022598E-01 Z  7  27
  7.6059127E-01 7.3183137E-01 7.0394152E-01 6.7691445E-01 6.5074092E-01 Z  7  28
  6.2540972E-01 6.0090840E-01 5.7722282E-01 5.5433786E-01 5.3223765E-01 Z  7  29
  5.1090521E-01 4.9032325E-01 4.7047374E-01 4.5133841E-01 4.3289873E-01 Z  7  30
  4.1513586E-01 3.9803106E-01 3.8156545E-01 3.6572030E-01 3.5047686E-01 Z  7  31
  3.3581668E-01 3.2172135E-01 3.0817279E-01 2.9515326E-01 2.8264517E-01 Z  7  32
  2.7063128E-01 2.4801934E-01 2.2718693E-01 2.0800962E-01 1.9036932E-01 Z  7  33
  1.7415439E-01 1.5925948E-01 1.4558570E-01 1.3304019E-01 1.2153617E-01 Z  7  34
  1.1099262E-01 1.0133401E-01 9.2490114E-02 8.4395714E-02 7.6990306E-02 Z  7  35
  7.0217833E-02 6.4026482E-02 5.8368333E-02 5.3199153E-02 4.8478164E-02 Z  7  36
  4.4167772E-02 4.0233366E-02 3.6643110E-02 3.3367727E-02 3.0380329E-02 Z  7  37
  2.7656211E-02 2.5172722E-02 2.2909077E-02 2.0846225E-02 1.8966710E-02 Z  7  38
  1.7254554E-02 1.5695116E-02 1.4275019E-02 1.2982012E-02 1.1804900E-02 Z  7  39
  1.0733452E-02 9.7583169E-03 8.8709574E-03 8.0635734E-03 7.3290481E-03 Z  7  40
  6.6608833E-03 5.5005234E-03 4.5409887E-03 3.7478358E-03 3.0924550E-03 Z  7  41
  2.5511000E-03 2.1040759E-03 1.7350565E-03 1.4305186E-03 1.1792645E-03 Z  7  42
  9.7202888E-04 8.0114562E-04 6.6025677E-04 5.4410775E-04 4.4836185E-04 Z  7  43
