# begin r =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00:
# r =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
# R =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
# l  m                  (r+R)^l Ylm(r+R)
  4  3 -0.000000000000000E+00   0.000000000000000E+00
  4  4  4.425326924449827E-01   0.000000000000000E+00
  5  0  0.000000000000000E+00   0.000000000000000E+00
  5  1  0.000000000000000E+00  -3.202816485762151E-01
  5  2  0.000000000000000E+00   0.000000000000000E+00
  5  3  0.000000000000000E+00  -3.459437191468402E-01
  5  4  0.000000000000000E+00   0.000000000000000E+00
  5  5  0.000000000000000E+00  -4.641322034408582E-01
  6  0 -3.178460113381421E-01  -0.000000000000000E+00
  6  1  0.000000000000000E+00  -0.000000000000000E+00
  6  2 -3.256952429338578E-01  -0.000000000000000E+00
  6  3  0.000000000000000E+00  -0.000000000000000E+00
  6  4 -3.567812628539980E-01  -0.000000000000000E+00
  6  5  0.000000000000000E+00  -0.000000000000000E+00
  6  6 -4.830841135800663E-01  -0.000000000000000E+00

# r =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
# R =  0.000000000000000E+00  0.000000000000000E+00 -1.000000000000000E+00
# l  m                  (r+R)^l Ylm(r+R)
  0  0  2.820947917738781E-01   0.000000000000000E+00
  1  0 -4.886025119029199E-01  -0.000000000000000E+00
  1  1  0.000000000000000E+00   0.000000000000000E+00
  2  0  6.307831305050401E-01   0.000000000000000E+00
  2  1 -0.000000000000000E+00  -0.000000000000000E+00
  2  2  0.000000000000000E+00   0.000000000000000E+00
  3  0 -7.463526651802308E-01  -0.000000000000000E+00
  3  1 -0.000000000000000E+00  -0.000000000000000E+00
  3  2 -0.000000000000000E+00  -0.000000000000000E+00
  3  3  0.000000000000000E+00   0.000000000000000E+00
  4  0  8.462843753216345E-01   0.000000000000000E+00
  4  1  0.000000000000000E+00   0.000000000000000E+00
  4  2  0.000000000000000E+00   0.000000000000000E+00
  4  3 -0.000000000000000E+00  -0.000000000000000E+00
  4  4  0.000000000000000E+00   0.000000000000000E+00
  5  0 -9.356025796273888E-01  -0.000000000000000E+00
  5  1 -0.000000000000000E+00  -0.000000000000000E+00
  5  2  0.000000000000000E+00   0.000000000000000E+00
  5  3 -0.000000000000000E+00  -0.000000000000000E+00
  5  4 -0.000000000000000E+00  -0.000000000000000E+00
  5  5  0.000000000000000E+00   0.000000000000000E+00
  6  0  1.017107236282055E+00   0.000000000000000E+00
  6  1 -0.000000000000000E+00  -0.000000000000000E+00
  6  2 -0.000000000000000E+00  -0.000000000000000E+00
  6  3  0.000000000000000E+00   0.000000000000000E+00
  6  4  0.000000000000000E+00   0.000000000000000E+00
  6  5 -0.000000000000000E+00  -0.000000000000000E+00
  6  6  0.000000000000000E+00   0.000000000000000E+00

# r =  0.000000000000000E+00  0.000000000000000E+00  0.000000000000000E+00
# R =  0.000000000000000E+00  0.000000000000000E+00  1.000000000000000E+00
